65_HS1-834228961_62-HQ-83894_Section_8.pdf	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf	65_HS1-834228961_62-HQ-83894_Section_8	FBI	5/8/26	N/A	N/A
DOW-UAP-D10_ Mission Report_ Middle East_ May 2022.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf	DOW-UAP-D10, Mission Report, Middle East, May 2022	Department of War	5/8/26	5/6/22	Iraq
DOW-UAP-D12_ Mission Report_ Iraq_ May 2022.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf	DOW-UAP-D12, Mission Report, Iraq, May 2022	Department of War	5/8/26	5/20/22	Iraq
DOW-UAP-D14_ Mission Report_ Iraq_ May 2022.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf	DOW-UAP-D14, Mission Report, Iraq, May 2022	Department of War	5/8/26	5/29/22	Syria
DOW-UAP-D16_ Mission Report_ Syria_ July 2022.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf	DOW-UAP-D16, Mission Report, Syria, July 2022	Department of War	5/8/26	7/31/22	Syria
DOW-UAP-D18_ Mission Report_ Iraq_ December 2022.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf	DOW-UAP-D18, Mission Report, Iraq, December 2022	Department of War	5/8/26	12/1/22	Iraq
DOW-UAP-D19_ Mission Report_ Syria_ February 21_ 2023.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf	DOW-UAP-D19, Mission Report, Syria, February 21, 2023	Department of War	5/8/26	2/21/23	Syria
DOW-UAP-D20_ Mission Report_ Southern United States_ 2020.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-southern-united-states-2020.pdf	DOW-UAP-D20, Mission Report, Southern United States, 2020	Department of War	5/8/26	3/31/23	Iraq
DOW-UAP-D23_ Mission Report_ United Arab Emirates_ October 2023.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023	Department of War	5/8/26	10/31/23	Persian Gulf
DOW-UAP-D23_ Mission Report_ United Arab Emirates_ October 2023_2.pdf	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023	Department of War	5/8/26	10/31/23	Persian Gulf
